STATE,STATEABBRV,COUNTY,AVLN_RISKR,CFLD_RISKR,CWAV_RISKR,DRGT_RISKR,ERQK_RISKR,HAIL_RISKR,HWAV_RISKR,HRCN_RISKR,ISTM_RISKR,LNDS_RISKR,LTNG_RISKR,RFLD_RISKR,SWND_RISKR,TRND_RISKR,TSUN_RISKR,VLCN_RISKR,WFIR_RISKR,WNTW_RISKR
Alabama,AL,Autauga,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Baldwin,Not Applicable,Relatively Low,No Rating,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively High,Relatively Low,Relatively Low,Very High,Relatively Moderate,Relatively Low,Relatively Moderate,Insufficient Data,Not Applicable,Relatively Moderate,Relatively Low
Alabama,AL,Barbour,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Bibb,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Blount,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Bullock,Not Applicable,Not Applicable,No Rating,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Butler,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Calhoun,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Chambers,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Cherokee,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Very Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Chilton,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Choctaw,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Clarke,Not Applicable,Very Low,No Rating,Very Low,Very Low,Very Low,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Insufficient Data,Not Applicable,Very Low,Very Low
Alabama,AL,Clay,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Cleburne,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Coffee,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Colbert,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Conecuh,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Coosa,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Covington,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively High,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Crenshaw,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Cullman,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Very Low,Relatively High,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Dale,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively High,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Dallas,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,DeKalb,Not Applicable,Not Applicable,Relatively High,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Alabama,AL,Elmore,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Escambia,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively High,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Relatively Low,Relatively Low
Alabama,AL,Etowah,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Fayette,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Franklin,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Geneva,Not Applicable,Not Applicable,No Rating,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Greene,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Hale,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Henry,Not Applicable,Not Applicable,No Rating,Relatively Moderate,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Houston,Not Applicable,Not Applicable,No Rating,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively High,Relatively Moderate,Relatively Moderate,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Jackson,Not Applicable,Not Applicable,Relatively High,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Alabama,AL,Jefferson,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Moderate,Relatively Low,Relatively High,Relatively Low,Relatively Low,Relatively Moderate,Relatively High,Very High,Relatively Moderate,Very High,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Lamar,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Lauderdale,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Lawrence,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Relatively Low,Very Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Lee,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively High,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Limestone,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Alabama,AL,Lowndes,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Macon,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Madison,Not Applicable,Not Applicable,Relatively High,Very Low,Relatively Moderate,Relatively Low,Relatively High,Relatively Low,Relatively High,Relatively Moderate,Very High,Relatively Low,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively High
Alabama,AL,Marengo,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Marion,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Marshall,Not Applicable,Not Applicable,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Mobile,Not Applicable,Relatively Low,No Rating,Relatively Moderate,Relatively Low,Relatively Low,Relatively High,Very High,Relatively Moderate,Relatively Low,Very High,Relatively High,Relatively Low,Relatively High,Insufficient Data,Not Applicable,Relatively Moderate,Relatively Moderate
Alabama,AL,Monroe,Not Applicable,Very Low,No Rating,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Insufficient Data,Not Applicable,Very Low,Very Low
