Province,Region,Flooding,Cold Wave / Severe Winter Weather,Hail,Wildfire,Wind,Earthquake
BC,Capital Regional District,Relatively High,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively High,Very High
BC,Cariboo,Relatively Moderate,Relatively High,Relatively Moderate,Very High,Relatively Moderate,Relatively Low
BC,Central Okanagan,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively High,Relatively Moderate,Relatively Low
BC,Columbia-Shuswap,Relatively High,Relatively High,Relatively Moderate,Relatively High,Relatively Moderate,Relatively Low
BC,Comox Valley,Relatively High,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively High,Very High
BC,Cowichan Valley,Relatively High,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively High,Very High
BC,Fraser Valley,Very High,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively High,Very High
BC,Metro Vancouver,Relatively High,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively High,Very High
BC,Nanaimo,Relatively High,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively High,Very High
BC,North Okanagan,Relatively Moderate,Relatively High,Relatively Moderate,Relatively High,Relatively Moderate,Relatively Low
BC,Okanagan-Similkameen,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively High,Relatively Moderate,Relatively Low
BC,Peace River,Relatively High,Very High,Relatively Moderate,Relatively High,Relatively High,Relatively Low
BC,Squamish-Lillooet,Relatively High,Relatively Moderate,Relatively Low,Relatively High,Relatively High,Very High
BC,Strathcona,Relatively High,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively High,Very High
BC,Thompson-Nicola,Relatively Moderate,Relatively High,Relatively Moderate,Very High,Relatively Moderate,Relatively Low
AB,Cypress County,Relatively Moderate,Relatively High,Very High,Relatively Moderate,Relatively High,Relatively Low
AB,Grande Prairie County No. 1,Relatively Moderate,Very High,Relatively High,Relatively High,Relatively High,Relatively Low
AB,Lethbridge County,Relatively High,Relatively High,Very High,Relatively Moderate,Very High,Relatively Low
AB,Strathcona County,Relatively Moderate,Relatively High,Relatively High,Relatively Moderate,Relatively High,Relatively Low
AB,Wood Buffalo,Relatively High,Very High,Relatively Moderate,Very High,Relatively High,Relatively Low
ON,Essex County,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively High,Relatively Low
ON,Frontenac County,Relatively High,Relatively High,Relatively Moderate,Relatively Low,Relatively High,Relatively Moderate
ON,Greater Sudbury,Relatively Moderate,Relatively High,Relatively Moderate,Relatively High,Relatively Moderate,Relatively Low
ON,Hamilton,Relatively High,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively High,Relatively Low
